car_id,brand_id,series_id,spec_id,guide_price,car_year,car_age,mileage,city_id,sale_price,brand_name,series_name,spec_name
车源号：HC-49123690,10021,2273,100187,12.3800,2012,6.0,8.24,110100,5.3,长安福特,福克斯,2012款 经典款 1.8L 自动 时尚型
车源号：HC-49129644,10021,2273,100187,12.3800,2012,7.0,7.96,110100,6.6,长安福特,福克斯,2012款 经典款 1.8L 自动 时尚型
车源号：HC-49392538,10021,2273,16268,13.2900,2012,7.0,8.32,110100,4,长安福特,福克斯,2012款 两厢 1.6L 手动 风尚型
车源号：HC-49711022,10021,2273,115847,12.4800,2015,6.0,7.77,110100,5,长安福特,福克斯,2015款 三厢 1.6L 自动舒适型
车源号：HC-49778486,10021,2273,115852,13.6800,2015,5.0,1.07,110100,7.5,长安福特,福克斯,2015款 两厢 1.6L 自动风尚型
车源号：HC-49911682,10021,2273,11332,12.7800,2011,9.0,3.67,110100,4.8,长安福特,福克斯,2011款 两厢 1.8自动时尚型
车源号：HC-50015507,10021,2273,100184,11.2800,2012,8.0,6.12,110100,3.8,长安福特,福克斯,2012款 两厢 经典款 1.8L 手动 时尚型
车源号：HC-50872923,10021,2273,115852,13.6800,2015,3.0,3.71,110100,8.6,长安福特,福克斯,2015款 两厢 1.6L 自动风尚型
车源号：HC-51467583,10021,2273,16269,14.3900,2012,5.0,2.54,110100,6,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-51652499,10021,2273,11327,12.7800,2011,8.0,5.69,110100,4.1,长安福特,福克斯,2011款 三厢 1.8自动时尚型
车源号：HC-51764974,10021,2273,100195,11.2800,2012,7.0,11.51,110100,4.1,长安福特,福克斯,2012款 三厢 经典款 1.8L 手动 时尚型
车源号：HC-51884125,10021,2273,11333,14.2800,2011,10.0,7.81,110100,3.7,长安福特,福克斯,2011款 两厢 2.0手动运动型
车源号：HC-52019112,10021,2273,16269,14.3900,2012,6.0,5.25,110100,6.3,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-52272687,10021,2273,108123,14.9800,2005,13.0,13.45,110100,1.8,长安福特,福克斯,2005款 三厢 1.8手自一体时尚型
车源号：HC-52345725,10021,2273,120505,12.6800,2017,4.0,1.4,110100,8,长安福特,福克斯,2017款 两厢 1.6L 双离合 舒适型智行版
车源号：HC-52374699,10021,2273,103216,10.9800,2013,5.0,7.65,110100,5.4,长安福特,福克斯,2013款 两厢 经典款 1.8L 自动 基本型
车源号：HC-52390817,10021,2273,100182,9.9800,2012,5.0,6.06,110100,4.5,长安福特,福克斯,2012款 两厢 经典款 1.8L 手动 基本型
车源号：HC-52481130,10021,2273,108124,13.9800,2007,12.0,7.32,110100,2.06,长安福特,福克斯,2007款 三厢 1.8手自一体时尚型
车源号：HC-53218058,10021,2273,16268,13.2900,2012,5.0,5.99,110100,5,长安福特,福克斯,2012款 两厢 1.6L 手动 风尚型
车源号：HC-53443430,10021,2273,16273,15.4900,2012,7.0,5.7,110100,6.2,长安福特,福克斯,2012款 三厢 1.6L 自动 尊贵型
车源号：HC-54233188,10021,2273,7014,13.4900,2009,9.0,7.35,110100,5,长安福特,福克斯,2009款 三厢 1.8AT 时尚型
车源号：HC-54284060,10021,2273,16272,14.3900,2012,6.0,7.54,110100,5.94,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-54417217,10021,2273,100195,11.2800,2012,8.0,3.08,110100,4.44,长安福特,福克斯,2012款 三厢 经典款 1.8L 手动 时尚型
车源号：HC-54423797,10021,2273,16266,11.9900,2012,7.0,5.99,110100,4.2,长安福特,福克斯,2012款 两厢 1.6L 手动 舒适型
车源号：HC-54777447,10021,2273,16266,11.9900,2012,6.0,8.27,110100,5.58,长安福特,福克斯,2012款 两厢 1.6L 手动 舒适型
车源号：HC-55085112,10021,2273,11326,11.4800,2011,8.0,4.84,110100,3.8,长安福特,福克斯,2011款 三厢 1.8手动舒适型
车源号：HC-55148428,10021,2273,7013,11.8900,2009,10.0,8.7,110100,2.7,长安福特,福克斯,2009款 三厢 1.8MT 舒适型
车源号：HC-55150991,10021,2273,16269,14.3900,2012,5.0,5.92,110100,6.4,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-55306340,10021,2273,16269,14.3900,2012,7.0,5.17,110100,5.75,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-55318503,10021,2273,16272,14.3900,2012,6.0,6.55,110100,6.44,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-55416161,10021,2273,11332,12.7800,2011,9.0,8.8,110100,4.5,长安福特,福克斯,2011款 两厢 1.8自动时尚型
车源号：HC-55536755,10021,2273,16270,13.0900,2012,6.0,4.86,110100,5.77,长安福特,福克斯,2012款 三厢 1.6L 自动 舒适型
车源号：HC-55694358,10021,2273,16266,11.9900,2012,5.0,2.64,110100,4.8,长安福特,福克斯,2012款 两厢 1.6L 手动 舒适型
车源号：HC-55815820,10021,2273,115847,12.4800,2015,3.0,4.74,110100,6.65,长安福特,福克斯,2015款 三厢 1.6L 自动舒适型
车源号：HC-55875304,10021,2273,7013,11.8900,2009,10.0,15.44,110100,3.5,长安福特,福克斯,2009款 三厢 1.8MT 舒适型
车源号：HC-55951028,10021,2273,7014,13.4900,2009,10.0,14.54,110100,3.15,长安福特,福克斯,2009款 三厢 1.8AT 时尚型
车源号：HC-55957916,10021,2273,115854,12.4800,2015,3.0,1.15,110100,7,长安福特,福克斯,2015款 两厢 1.6L 自动舒适型
车源号：HC-56133800,10021,2273,16269,14.3900,2012,6.0,7.6,110100,5.9,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-56233556,10021,2273,16271,13.2900,2012,7.0,5.46,110100,4.9,长安福特,福克斯,2012款 三厢 1.6L 手动 风尚型
车源号：HC-56343869,10021,2273,16269,14.3900,2012,6.0,5.6,110100,6.24,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-56834865,10021,2273,108123,14.9800,2005,14.0,10.9,110100,1.4,长安福特,福克斯,2005款 三厢 1.8手自一体时尚型
车源号：HC-56842565,10021,2273,6990,13.4900,2009,11.0,7.89,110100,3,长安福特,福克斯,2009款 两厢 1.8AT 时尚型
车源号：HC-56910781,10021,2273,16268,13.2900,2012,6.0,3.71,110100,6,长安福特,福克斯,2012款 两厢 1.6L 手动 风尚型
车源号：HC-57143681,10021,2273,16272,14.3900,2012,6.0,7.27,110100,6,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-57186367,10021,2273,7013,11.8900,2009,10.0,5.07,110100,2.4,长安福特,福克斯,2009款 三厢 1.8MT 舒适型
车源号：HC-57211261,10021,2273,16272,14.3900,2012,6.0,11.03,110100,5.8,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-57291841,10021,2273,16272,14.3900,2012,6.0,9.48,110100,5.5,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-57335177,10021,2273,16272,14.3900,2012,7.0,5.83,110100,6.5,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-57348489,10021,2273,7014,13.4900,2009,9.0,10.61,110100,3.5,长安福特,福克斯,2009款 三厢 1.8AT 时尚型
车源号：HC-57359738,10021,2273,16272,14.3900,2012,6.0,5.43,110100,6.73,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-57458801,10021,2273,16270,13.0900,2012,7.0,6.44,110100,5.5,长安福特,福克斯,2012款 三厢 1.6L 自动 舒适型
